run_id,timestamp,component,provider,input_file,output_file,latency_seconds,error
4d10ef42,2026-07-05T11:59:33Z,tts,google,input_text/TTS001_simple_route_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS001_simple_route_response_google.mp3,0.862,
a4d05304,2026-07-05T11:59:34Z,tts,piper,input_text/TTS001_simple_route_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS001_simple_route_response_local.wav,0.938,
1aaac298,2026-07-05T11:59:36Z,tts,google,input_text/TTS002_clarification_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS002_clarification_response_google.mp3,1.297,
c90c962d,2026-07-05T11:59:37Z,tts,piper,input_text/TTS002_clarification_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS002_clarification_response_local.wav,0.936,
27fa241c,2026-07-05T11:59:39Z,tts,google,input_text/TTS003_escalation_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS003_escalation_response_google.mp3,0.997,
7d319b16,2026-07-05T11:59:40Z,tts,piper,input_text/TTS003_escalation_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS003_escalation_response_local.wav,0.88,
5c6e96f7,2026-07-05T11:59:41Z,tts,google,input_text/TTS004_out_of_scope_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS004_out_of_scope_response_google.mp3,0.894,
18419795,2026-07-05T11:59:42Z,tts,piper,input_text/TTS004_out_of_scope_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS004_out_of_scope_response_local.wav,0.901,
d68d80ea,2026-07-05T11:59:43Z,tts,google,input_text/TTS005_numbers_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS005_numbers_response_google.mp3,1.108,
9f8dd2e7,2026-07-05T11:59:44Z,tts,piper,input_text/TTS005_numbers_response.txt,/Users/jay/Desktop/AICC/output/audio/TTS005_numbers_response_local.wav,0.92,
b22e47d5,2026-07-05T11:59:47Z,stt,google,input_audio_16k/A001_lost_card_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/b22e47d5_A001_lost_card_clean.txt,1.958,
bb3e600f,2026-07-05T11:59:48Z,stt,faster-whisper,input_audio_16k/A001_lost_card_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/bb3e600f_A001_lost_card_clean.txt,0.55,
d33bba52,2026-07-05T11:59:51Z,stt,google,input_audio_16k/A002_fraud_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/d33bba52_A002_fraud_clean.txt,2.14,
a8dce1f0,2026-07-05T11:59:53Z,stt,faster-whisper,input_audio_16k/A002_fraud_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/a8dce1f0_A002_fraud_clean.txt,1.03,
9d234571,2026-07-05T11:59:56Z,stt,google,input_audio_16k/A003_failed_transfer_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/9d234571_A003_failed_transfer_clean.txt,2.194,
50120be2,2026-07-05T11:59:57Z,stt,faster-whisper,input_audio_16k/A003_failed_transfer_clean.wav,/Users/jay/Desktop/AICC/output/transcripts/50120be2_A003_failed_transfer_clean.txt,0.675,
